threshold,false_approvals,false_rejections,total_cost
0.02,131,13592,1172.51
0.03,196,10682,981.96
0.04,243,9031,880.43
0.05,331,7232,793.71
0.06,387,6443,766.99
0.07,423,5898,746.79
0.08,464,5200,717.6
0.09,540,4269,692.52
0.1,624,3538,688.64
0.11,692,3013,690.84
0.12,721,2758,689.29
0.13,747,2558,690.19
0.14,785,2406,702.73
0.15,812,2254,708.12
0.16,836,2137,714.36
0.17,854,2019,716.62
0.18,881,1884,723.37
0.19,911,1794,735.67
0.2,936,1694,743.92
0.21,968,1595,756.8
0.22,982,1526,760.38
0.23,1004,1441,767.88
0.24,1025,1386,777.13
0.25,1044,1337,785.56
0.26,1070,1276,797.58
0.27,1096,1174,806.32
0.28,1121,1109,817.37
0.29,1142,1055,826.7
0.3,1155,1003,830.99
0.31,1174,942,838.46
0.32,1206,893,855.34
0.33,1227,848,865.39
0.34,1261,764,880.77
0.35,1299,686,899.23
0.36,1333,622,916.21
0.37,1360,565,929.2
0.38,1394,516,947.38
0.39,1417,465,958.25
0.4,1438,424,968.62
0.41,1467,393,984.99
0.42,1492,368,999.24
0.43,1509,357,1009.41
0.44,1527,329,1018.87
0.45,1539,313,1025.39
0.46,1556,303,1035.64
0.47,1582,287,1051.26
0.48,1592,266,1056.08
0.49,1605,258,1063.89
